ts=4403; X_raw=120; Y_raw=-360; Z_raw=-86; X_acc_der=120.00; Y_acc_der=-360.00; Z_acc_der=-86.00; X_gyr_der=-117.74; Y_gyr_der=-7.18; Z_gyr_der=34.47;
ts=4507; X_raw=-57; Y_raw=-334; Z_raw=-82; X_acc_der=-57.00; Y_acc_der=-334.00; Z_acc_der=-82.00; X_gyr_der=-117.77; Y_gyr_der=-7.85; Z_gyr_der=34.66;
ts=4611; X_raw=76; Y_raw=-338; Z_raw=-73; X_acc_der=76.00; Y_acc_der=-338.00; Z_acc_der=-73.00; X_gyr_der=-116.76; Y_gyr_der=-6.50; Z_gyr_der=34.81;
ts=4715; X_raw=175; Y_raw=-371; Z_raw=-61; X_acc_der=175.00; Y_acc_der=-371.00; Z_acc_der=-61.00; X_gyr_der=-116.24; Y_gyr_der=-6.96; Z_gyr_der=33.13;
ts=4819; X_raw=-6; Y_raw=-358; Z_raw=-153; X_acc_der=-6.00; Y_acc_der=-358.00; Z_acc_der=-153.00; X_gyr_der=-117.22; Y_gyr_der=-6.50; Z_gyr_der=33.92;
ts=4923; X_raw=-73; Y_raw=-416; Z_raw=-24; X_acc_der=-73.00; Y_acc_der=-416.00; Z_acc_der=-24.00; X_gyr_der=-117.22; Y_gyr_der=-6.84; Z_gyr_der=34.41;
ts=5027; X_raw=162; Y_raw=-376; Z_raw=-170; X_acc_der=162.00; Y_acc_der=-376.00; Z_acc_der=-170.00; X_gyr_der=-118.69; Y_gyr_der=-7.24; Z_gyr_der=35.54;
ts=5131; X_raw=122; Y_raw=-403; Z_raw=-8; X_acc_der=122.00; Y_acc_der=-403.00; Z_acc_der=-8.00; X_gyr_der=-116.95; Y_gyr_der=-7.45; Z_gyr_der=34.60;
ts=5235; X_raw=-99; Y_raw=-283; Z_raw=-114; X_acc_der=-99.00; Y_acc_der=-283.00; Z_acc_der=-114.00; X_gyr_der=-117.37; Y_gyr_der=-7.45; Z_gyr_der=35.27;
ts=5339; X_raw=56; Y_raw=-354; Z_raw=-29; X_acc_der=56.00; Y_acc_der=-354.00; Z_acc_der=-29.00; X_gyr_der=-117.10; Y_gyr_der=-7.94; Z_gyr_der=34.08;
ts=5443; X_raw=251; Y_raw=-503; Z_raw=-140; X_acc_der=251.00; Y_acc_der=-503.00; Z_acc_der=-140.00; X_gyr_der=-115.36; Y_gyr_der=-8.58; Z_gyr_der=35.05;
ts=5547; X_raw=196; Y_raw=-505; Z_raw=-282; X_acc_der=196.00; Y_acc_der=-505.00; Z_acc_der=-282.00; X_gyr_der=-114.69; Y_gyr_der=-7.48; Z_gyr_der=34.02;
ts=5651; X_raw=-220; Y_raw=-531; Z_raw=-60; X_acc_der=-220.00; Y_acc_der=-531.00; Z_acc_der=-60.00; X_gyr_der=-112.85; Y_gyr_der=-6.81; Z_gyr_der=33.53;
ts=5755; X_raw=319; Y_raw=-429; Z_raw=-166; X_acc_der=319.00; Y_acc_der=-429.00; Z_acc_der=-166.00; X_gyr_der=-118.29; Y_gyr_der=-6.60; Z_gyr_der=36.12;
ts=5859; X_raw=-77; Y_raw=-246; Z_raw=-95; X_acc_der=-77.00; Y_acc_der=-246.00; Z_acc_der=-95.00; X_gyr_der=-118.63; Y_gyr_der=-7.91; Z_gyr_der=35.45;
ts=5963; X_raw=72; Y_raw=-517; Z_raw=-32; X_acc_der=72.00; Y_acc_der=-517.00; Z_acc_der=-32.00; X_gyr_der=-117.19; Y_gyr_der=-7.08; Z_gyr_der=34.05;
ts=6067; X_raw=131; Y_raw=-307; Z_raw=-245; X_acc_der=131.00; Y_acc_der=-307.00; Z_acc_der=-245.00; X_gyr_der=-117.77; Y_gyr_der=-7.33; Z_gyr_der=33.37;
